Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2640;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2639;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2638;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2637;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2636;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2635;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2634;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2633;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2632;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2631;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2630;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2629;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2628;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2627;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;2778.00
MUNICIPIO DE NAVEGANTES;2021;2626;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2625;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2624;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;11629.00
MUNICIPIO DE NAVEGANTES;2021;2623;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2622;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;12734.00
MUNICIPIO DE NAVEGANTES;2021;2621;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2620;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2619;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;8239.00
