contaCodigo,contaDescricao,valorOrcado
4191311000000000000,Multas/Juros de Mora Div. Ativ. s/ IPTU,307349.89
4191311000000000000,Multas/Juros de Mora Div. Ativ. s/ IPTU,227666.58
4191313000000000000,Multas/Juros de Mora Div. Ativ. s/ ISS,52614.19
4191313000000000000,Multas/Juros de Mora Div. Ativ. s/ ISS,26803.45
4191313000000000000,Multas/Juros de Mora Div. Ativ. s/ ISS,19854.41
4191399000000000000,Multas/Juros de Mora Div. Ativ. Outros Tributos,169277.45
4191999000000000000,Outras Multas,500000.00
4193111000000000000,Rec. Div. Ativ. do IPTU,1128900.00
4193111000000000000,Rec. Div. Ativ. do IPTU,575100.00
4193111000000000000,Rec. Div. Ativ. do IPTU,426000.00
4193113000000000000,Rec. Div. Ativ. do ISS,90312.00
4193113000000000000,Rec. Div. Ativ. do ISS,46008.00
4193113000000000000,Rec. Div. Ativ. do ISS,34080.00
4193199010000000000,Receita da Dívida Ativa de Outros Tributos - Princ,106500.00
4199002010000000000,Receita de Honorários de Advogados,127800.00
4199099000000000000,Outras Receitas,106500.00
4211405000000000000,Oper de Créd. Internas p/ Prog. de Modern.Adm Públ,100000.00
4211499000000000000,Outras Operações de Crédito Internas - Contratuais,10000000.00
4247102000000000000,Transf. Convênios da União Destin. Programa Educaç,2000000.00
4247199000000000000,Outras Transferências de Convênios da União,1000000.00
4247202000000000000,Transf. de Convênio Destinado Programa de Educação,56500.00
4247299000000000000,Outras Transferências de Convênio dos Estados,776000.00
4760041000000000000,Receitas Intra-Orçamentárias - Serv. de Captação/A,266250.00
9111202000000000000,Deduções de Receita do IPTU,1861365.66
9111202000000000000,Deduções de Receita do IPTU,948242.88
9111202000000000000,Deduções de Receita do IPTU,702402.14
9111208000000000000,Deduções de Receita do ITBI,432144.71
9111208000000000000,Deduções de Receita do ITBI,220149.19
9111208000000000000,Deduções de Receita do ITBI,163073.48
9112125000000000000,Devoluções de Taxas - Taxa Func. Estab. Com.Ind.Prest. de Serviços,52460.00
9113004000000000000,Deduções da Receita - Contribuições de Melhroria p/Pavimentação e Obras Complementares,449751.00
9172101050000000000,Dedução de Receita p/ Formação do FUNDEB - ITR,2000.00
9172136000000000000,Ded Rec p/ Form do FUNDEB - ICMS Deson - LC 87/96,20235.00
